days,stdev
,196.11613515159
1,0
2,748.331477354788
3,414.851117007582
4,380.693493808793
5,2392.24289882038
6,1610.0904646472
7,816.496580925559
8,800
9,435.889894354067
10,0
11,1258.30573921179
12,2236.06797749979
13,1140.17542509914
14,500
15,500
16,577.350269189626
17,0
18,1414.2135623731
19,1095.44511501033
20,1483.23969741913
21,0
22,1341.64078649987
23,1500
24,2607.68096208106
25,0
26,4381.78046004133
27,19629.9091524473
28,5813.77674149945
29,16560.4951616792
30,4690.41575982343
31,547.722557505166
32,577.350269189626
33,577.350269189626
34,0
35,500
36,447.213595499958
37,1788.85438199983
38,707.106781186548
39,0
40,500
41,1643.1676725155
42,1892.96944860009
43,0
44,1414.2135623731
45,1341.64078649987
46,0
47,894.427190999916
48,500
49,0
